nohup: ignoring input
[2026-04-05 18:36:32 +0000] [56051] [INFO] Starting gunicorn 25.3.0
[2026-04-05 18:36:32 +0000] [56051] [ERROR] Connection in use: ('127.0.0.1', 8000)
[2026-04-05 18:36:32 +0000] [56051] [ERROR] connection to ('127.0.0.1', 8000) failed: [Errno 98] Address already in use
[2026-04-05 18:36:33 +0000] [56051] [ERROR] Connection in use: ('127.0.0.1', 8000)
[2026-04-05 18:36:33 +0000] [56051] [ERROR] connection to ('127.0.0.1', 8000) failed: [Errno 98] Address already in use
[2026-04-05 18:36:34 +0000] [56051] [ERROR] Connection in use: ('127.0.0.1', 8000)
[2026-04-05 18:36:34 +0000] [56051] [ERROR] connection to ('127.0.0.1', 8000) failed: [Errno 98] Address already in use
[2026-04-05 18:36:35 +0000] [56051] [ERROR] Connection in use: ('127.0.0.1', 8000)
[2026-04-05 18:36:35 +0000] [56051] [ERROR] connection t[2026-04-05 18:36:47 +0000] [51182] [INFO] Shutting down: Master
2026-04-05 18:36:36 +0000] [56051] [ERROR] Connection in use: ('127.0.0.1', 8000)
[2026-04-05 18:36:36 +0000] [56051] [ERROR] connection to ('127.0.0.1', 8000) failed: [Errno 98] Address already in use
[2026-04-05 18:36:37 +0000] [56051] [ERROR] Can't connect to ('127.0.0.1', 8000)
